Filter Settings file

Room EQ V5.40 Beta 103
Dated: Oct 22, 2025 9:08:54 AM

Notes:

Equaliser: Generic
L RMS Average 1
Filter  1: ON  PK       Fc   76.90 Hz  Gain  -11.5 dB  Q  1.023
Filter  2: ON  HS       Fc 9946.00 Hz  Gain   -0.4 dB
Filter  3: ON  None   
Filter  4: ON  None   
Filter  5: ON  None   
Filter  6: ON  None   
Filter  7: ON  None   
Filter  8: ON  None   
Filter  9: ON  None   
Filter 10: ON  None   
Filter 11: ON  None   
Filter 12: ON  None   
Filter 13: ON  None   
Filter 14: ON  None   
Filter 15: ON  None   
Filter 16: ON  None   
Filter 17: ON  None   
Filter 18: ON  None   
Filter 19: ON  None   
Filter 20: ON  None   
Filter  1: ON  None      
Filter  2: ON  None      

